Iteração 91: x = [1.00001868e+00 9.34124801e-06], f(x) = 1.2499766469890612, grad_norm = 1.1180236596839908, alpha = 2.0530310231465696e-07
Iteração 92: x = [1.00001889e+00 9.44389860e-06], f(x) = 1.249976390364991, grad_norm = 1.1180235449171279, alpha = 2.0530310231465696e-07
Iteração 93: x = [1.00001909e+00 9.54654918e-06], f(x) = 1.2499761337409734, grad_norm = 1.118023430150277, alpha = 2.0530310231465696e-07
Iteração 94: x = [1.00001930e+00 9.64919975e-06], f(x) = 1.2499758771170084, grad_norm = 1.1180233153834376, alpha = 2.0530310231465696e-07
Iteração 95: x = [1.00001950e+00 9.75185031e-06], f(x) = 1.2499756204930965, grad_norm = 1.11802320061661, alpha = 2.0530310231465696e-07
Iteração 96: x = [1.00001971e+00 9.85450086e-06], f(x) = 1.249975363869237, grad_norm = 1.1180230858497944, alpha = 2.0530310231465696e-07
Iteração 97: x = [1.00001991e+00 9.95715140e-06], f(x) = 1.2499751072454302, grad_norm = 1.1180229710829903, alpha = 2.0530310231465696e-07
Iteração 98: x = [1.00002012e+00 1.00598019e-05], f(x) = 1.2499748506216757, grad_norm = 1.118022856316198, alpha = 2.0530310231465696e-07
Iteração 99: x = [1.00002032e+00 1.01624524e-05], f(x) = 1.2499745939979743, grad_norm = 1.1180227415494175, alpha = 2.0530310231465696e-07
Iteração 100: x = [1.00002053e+00 1.02651030e-05], f(x) = 1.2499743373743255, grad_norm = 1.118022626782649, alpha = 2.0530310231465696e-07
Iteração 101: x = [1.00002074e+00 1.03677535e-05], f(x) = 1.2499740807507294, grad_norm = 1.118022512015892, alpha = 2.0530310231465696e-07
Iteração 102: x = [1.00002094e+00 1.04704039e-05], f(x) = 1.2499738241271858, grad_norm = 1.118022397249147, alpha = 2.0530310231465696e-07
Iteração 103: x = [1.00002115e+00 1.05730544e-05], f(x) = 1.2499735675036951, grad_norm = 1.1180222824824135, alpha = 2.0530310231465696e-07
Iteração 104: x = [1.00002135e+00 1.06757049e-05], f(x) = 1.2499733108802573, grad_norm = 1.118022167715692, alpha = 2.0530310231465696e-07
Iteração 105: x = [1.00002156e+00 1.07783553e-05], f(x) = 1.2499730542568719, grad_norm = 1.1180220529489824, alpha = 2.0530310231465696e-07
Iteração 106: x = [1.00002176e+00 1.08810058e-05], f(x) = 1.2499727976335393, grad_norm = 1.1180219381822845, alpha = 2.0530310231465696e-07
Iteração 107: x = [1.00002197e+00 1.09836562e-05], f(x) = 1.2499725410102593, grad_norm = 1.1180218234155983, alpha = 2.0530310231465696e-07
